year,song,artist,play_count
2014,Thinking out Loud,Ed Sheeran,473
2014,Come Away With Me,Norah Jones,242
2014,Happy Little Pill,Troye Sivan,242
2014,Superheroes,The Script,232
2014,How Long Will I Love You,Ellie Goulding,189
2014,Try,Colbie Caillat,189
2014,Chandelier,Sia,142
2014,Not a Bad Thing,Justin Timberlake,125
2014,You're So Fine,Guba,111
2014,Cool Kids,Echosmith,89
2014,Rude,MAGIC!,89
2014,Life's For The Living,Passenger,88
2014,Young And Beautiful,Lana Del Rey,72
2014,Musician,Yuna,65
2014,Another Love,Tom Odell,64
2015,How Deep Is Your Love,Bee Gees,426
2015,Thank You,Dido,355
2015,Lost Stars,Adam Levine,230
2015,Like I'm Gonna Lose You,Meghan Trainor,185
2015,Take Me to Church,Hozier,171
2015,Backpacking Around Europe,Yuna,165
2015,Cleanin' Out My Closet,Eminem,158
2015,Mad World,Gary Jules,142
2015,Somebody That I Used To Know,Gotye,116
2015,Imagine,John Lennon,115
2015,Habits (Stay High),Tove Lo,111
2015,Kiss Me,Sixpence None The Richer,103
2015,Lights And Camera,Yuna,96
2015,After Midnight,Yuna,86
2015,I Wanna Go,Yuna,75
2016,Same Old Love,Selena Gomez,216
2016,Unapologetic Bitch,Madonna,167
2016,Hymn for the Weekend,Coldplay,157
2016,How Deep Is Your Love,Bee Gees,151
2016,NO,Meghan Trainor,121
2016,Flawless,Beyoncé,119
2016,Lost Stars,Adam Levine,107
2016,Crush,Yuna,103
2016,Send My Love,Adele,100
2016,"i hate u, i love u",gnash,100
2016,Lost Boy,Ruth B.,93
2016,Cater 2 U,Destiny's Child,80
2016,Too Close,Yuna,78
2016,Fuck You,Lily Allen,75
2016,7/11,Beyoncé,71
2017,Issues,Julia Michaels,347
2017,I Don't Wanna Live Forever,ZAYN,311
2017,Bad Things,mgk,272
2017,All Time Low,Jon Bellion,208
2017,Pulang,Yuna,149
2017,Come Away With Me,Norah Jones,102
2017,Shape of You,Ed Sheeran,102
2017,You're Not There,Lukas Graham,100
2017,Say You Won't Let Go,James Arthur,97
2017,Scars To Your Beautiful,Alessia Cara,94
2017,Weak,AJR,94
2017,Million Reasons,Lady Gaga,84
2017,Try,Colbie Caillat,84
2017,Everyday,Ariana Grande,72
2017,Empty,Olivia O'Brien,71
2018,Let You Down,NF,75
2018,Sorry Not Sorry,Demi Lovato,52
2018,Meant to Be,Bebe Rexha,45
2018,Somebody To Love,Queen,35
2018,Another One Bites The Dust,Queen,31
2018,Stressed Out,Twenty One Pilots,31
2018,Under Pressure,Queen,29
2018,Don't Stop Me Now,Queen,28
2018,Bohemian Rhapsody,Queen,27
2018,Most Girls,Hailee Steinfeld,26
2018,Praying,Kesha,26
2018,I Want To Break Free,Queen,25
2018,Killer Queen,Queen,25
2018,Crazy Little Thing Called Love,Queen,24
2018,Run the World (Girls),Beyoncé,24
2019,Anxiety,Julia Michaels,240
2019,7 rings,Ariana Grande,212
2019,Woke Up Late,Drax Project,164
2019,Lelaki,Yuna,115
2019,Never Seen the Rain,Tones And I,108
2019,Somebody To Love,Queen,105
2019,Work from Home,Fifth Harmony,72
2019,Motivation,Normani,64
2019,Mother's Daughter,Miley Cyrus,56
2019,Layar Impian,Ella,52
2019,If the World Was Ending,JP Saxe,48
2019,Take Me to Church,Hozier,47
2019,Cater 2 U,Destiny's Child,45
2019,Cleanin' Out My Closet,Eminem,31
2019,Patah Seribu,Shila Amzah,26
2020,Little Things,Jessica Mauboy,80
2020,Hey Ya!,Outkast,76
2020,If the World Was Ending,JP Saxe,65
2020,BROWN SKIN GIRL,Blue Ivy,62
2020,Higher,Rihanna,46
2020,Cinta Luar Biasa,Andmesh,41
2020,Surrender,Natalie Taylor,41
2020,Cleanin' Out My Closet,Eminem,38
2020,Rare,Selena Gomez,38
2020,Love On The Brain,Rihanna,37
2020,Halo,Beyoncé,27
2020,Kiss It Better,Rihanna,25
2020,Same Ol Mistakes,Rihanna,22
2020,Needed Me,Rihanna,21
2020,Close To You,Rihanna,20
2021,Rain On Me,Lady Gaga,16
2021,Sorry Not Sorry,Demi Lovato,13
2021,The Middle,Zedd,13
2021,Love On Top,Beyoncé,12
2021,Irreplaceable,Beyoncé,11
2021,no tears left to cry,Ariana Grande,11
2021,Never Really Over,Katy Perry,10
2021,2002,Anne-Marie,9
2021,Don't Start Now,Dua Lipa,9
2021,"thank u, next",Ariana Grande,9
2021,Lonely,Justin Bieber,8
2021,Chi se ne frega,Devis,8
2021,I Don't Care,Ed Sheeran,8
2021,Dance for You,Beyoncé,7
2021,Dancing With A Stranger,Sam Smith,7
2022,Unholy,Sam Smith,261
2022,Rembau Most Wanted,W.A.R.I.S,161
2022,Bodak Yellow,Cardi B,142
2022,Calm Down,Rema,133
2022,Until I Found You,Stephen Sanchez,131
2022,SWIPE,ALYPH,102
2022,RING RING,Luqman Podolski,96
2022,CUFF IT,Beyoncé,88
2022,Sorang,Luqman Podolski,87
2022,I Ain't Worried,OneRepublic,64
2022,Sedang Ingin Bercinta,Dewa 19,55
2022,Fuck You,Lily Allen,54
2022,INDUSTRY BABY,Lil Nas X,54
2022,Super Freaky Girl,Nicki Minaj,53
2022,Anti-Hero,Taylor Swift,52
2023,Sial,Mahalini,264
2023,La Vie En Rose,Daniela Andrade,243
2023,Unchained Melody,The Righteous Brothers,216
2023,Until I Found You,Stephen Sanchez,197
2023,Ke Hujung Dunia,Sarah,175
2023,Blue,Aina Abdul,165
2023,Heartbreak Anniversary,Giveon,160
2023,Malampagi,Saixse,133
2023,Satu Malam Di Temasek,Joe Flizzow,119
2023,Touch My Body,Mariah Carey,119
2023,Sakit,Zynakal,114
2023,Hasrat,Amir Jahari,110
2023,Another Love,Tom Odell,107
2023,Rich Flex,Drake,105
2023,Budapest,George Ezra,101
2024,Cinta Tak Pernah Tepat Waktu,Aina Abdul,225
2024,Nobody Gets Me,SZA,173
2024,redrum,21 Savage,164
2024,TGIF,GloRilla,133
2024,Homecoming,Kanye West,120
2024,best side,DOLLA,120
2024,Touch My Body,Mariah Carey,109
2024,Jiwa Yang Bersedih,Ghea Indrawari,104
2024,HIND'S HALL,Macklemore,99
2024,Mamushi,Megan Thee Stallion,97
2024,Takkan Berpaling DariMu,Rossa,97
2024,Too Sweet,Hozier,97
2024,Work Song,Hozier,92
2024,Players,Coi Leray,86
2024,R.E.M,Ariana Grande,86
